label,xchannel,ychannel,zchannel,wsurf
%f,%f,%f,%f,%f
1540,1003.02,935.161,98.241,100
1541,1003.175,934.913,98.175,100
1542,1003.213,934.746,98.405,100
1543,1003.466,934.865,98.187,100
1544,1003.271,935.21,98.165,100
1545,1002.988,935.593,98.077,100
1546,1002.84,935.71,98.117,100
1547,1003.097,935.951,98.236,100
1548,1003.519,935.523,98.227,100
1549,1003.65,934.99,98.237,100
1550,1003.85,934.984,98.244,100
1551,1004.173,935.188,98.358,100
1552,1004.042,935.45,98.349,100
1553,1004.04,935.729,98.427,100
1554,1003.716,935.655,98.33,100
2166,996.078,942.934,98.957,100
2167,995.817,943.302,98.895,100
2168,996.243,943.562,98.875,100
2169,996.441,943.213,98.859,100
2170,996.704,942.629,98.86,100
2171,997.064,942.838,98.996,100
2172,996.917,943.306,98.989,100
2173,996.716,943.723,99.015,100
2174,997.111,943.949,99.071,100
2175,997.422,943.464,99.113,100
2176,997.577,942.953,99.04,100
2177,997.917,943.192,99.103,100
2178,997.796,943.531,99.171,100
2179,997.404,943.998,99.189,100
2180,997.802,944.179,99.11,100
2181,998.068,943.832,99.175,100
2182,998.284,943.273,99.09,100
2183,998.635,943.341,99.091,100
2184,998.48,943.722,99.106,100
2185,998.266,944.186,99.081,100
2186,998.611,944.32,99.151,100
2187,998.725,944.049,99.32,100
2188,998.941,943.501,99.156,100
2189,998.907,943.88,99.173,100
2190,999.323,943.589,99.26,100
2191,999.044,944.084,99.297,100
2192,998.892,944.52,99.287,100
2193,998.772,944.814,99.261,100
2194,998.685,945.189,99.218,100
2195,998.64,945.739,99.27,100
2196,998.681,946.164,99.325,100
2197,998.383,946.076,99.291,100
2198,998.513,945.653,99.275,100
2199,998.602,945.207,99.206,100
2200,998.517,944.599,99.164,100
2201,998.02,944.702,99.185,100
2202,997.845,945.171,99.204,100
2203,997.794,945.481,99.135,100
2204,997.6,945.965,99.149,100
2205,997.16,945.791,99.154,100
2206,997.224,945.386,99.276,100
2207,997.3,945.191,99.145,100
2208,997.572,944.674,99.115,100
2209,997.348,944.51,99.189,100
2210,997.217,944.816,99.196,100
2211,997.014,945.129,99.175,100
2212,996.912,945.636,99.081,100
2213,996.524,945.45,99.093,100
2214,996.574,945.026,99.101,100
2215,996.717,944.7,99.06,100
2216,996.932,944.251,99.098,100
2217,996.585,944.088,98.981,100
2218,996.409,944.406,99.043,100
2219,996.44,944.619,99.181,100
2220,996.199,945.092,99.056,100
2221,996.121,945.424,99.029,100
2222,995.83,945.475,99.013,100
2223,995.947,945.328,99.046,100
2224,996.036,944.915,99.057,100
2225,996.086,944.552,98.91,100
2226,996.023,944.28,98.891,100
2227,995.88,943.992,98.911,100
1555,1003.226,935.994,98.273,100
1556,1003.501,935.667,98.288,100
1557,1003.633,936.171,98.35,100
1558,1003.979,936.262,98.549,100
1559,1003.767,936.611,98.581,100
1560,1003.496,937.045,98.637,100
1561,1003.359,937.246,98.631,100
1562,1003.102,937.252,98.46,100
1563,1003.369,936.839,98.395,100
1564,1002.995,936.27,98.239,100
1565,1002.702,936.612,98.267,100
1566,1002.462,936.954,98.298,100
1567,1002.156,936.752,98.244,100
1568,1002.364,936.307,98.183,100
1569,1002.645,935.932,98.095,100
1570,1002.134,935.73,97.958,100
1571,1001.949,936.257,97.992,100
1572,1001.957,936.588,98.4,100
1573,1001.832,936.827,98.213,100
1574,1001.555,936.488,98.105,100
1575,1001.7,936.028,97.868,100
1576,1002.11,935.511,97.857,100
1577,1001.764,935.303,97.835,100
1578,1001.541,935.687,97.822,100
1579,1001.246,936.202,97.894,100
1580,1000.969,935.895,97.888,100
1581,1001.188,935.554,97.863,100
1582,1001.43,935.13,97.926,100
1583,1001.066,934.951,97.95,100
1584,1000.735,935.416,97.838,100
1585,1000.876,935.688,97.951,100
1586,1000.63,935.77,98.247,100
1587,1000.493,935.594,98.322,100
1588,1000.496,935.469,97.879,100
1589,1000.654,935.2,98.165,100
1590,1000.903,934.77,97.969,100
1591,1000.801,934.617,98.071,100
1592,1000.6,934.899,98.23,100
1593,1000.391,935.227,98.093,100
1594,1000.21,935.641,97.984,100
1595,1000.011,935.466,97.997,100
1596,1000.271,934.932,98.069,100
1597,1000.395,934.543,98.188,100
1598,1000.59,934.155,98.443,100
1599,1000.269,934.017,98.449,100
1600,1000.157,934.218,98.727,100
1601,1000.126,934.47,98.276,100
1602,999.89,934.985,98.238,100
1603,999.69,935.119,98.273,100
1604,999.635,935.443,98.483,100
1605,999.894,935.772,98.147,100
1606,999.82,935.877,98.096,100
1607,999.436,935.886,98.363,100
1608,999.351,936.143,98.458,100
1609,999.207,936.483,98.343,100
1610,999.122,936.819,98.491,100
1611,998.893,936.633,98.54,100
